Id_number	Accession_name	Leaf-type	Leaflet-shape (in the first flowering node)	Leaflet-margin shape on the second real leaf	Leaflet-margin shape at the first flowering node	Leaflet-appex shape	Leaflet-colour	Leaflet-waxy bloom	Stipules-character of anthocyan spot	Tendrils of leaf-shape	Flower-vexillium colour	Flower-wings colour	Pea mosaic virus-resistance	Pea enation mosaic virus-resistance
L0100516	Twist	5.00	3.00	2.00	2.00	2.25	5.25	6.00	1.00	6.50	1.75	1.75	4.00	4.50
L0100517	Nievo	5.00	4.75	1.25	1.00	2.25	4.00	4.00	1.00	5.00	1.00	1.25	5.00	4.50
L0100523	Satelliet_T.P.	5.00	1.75	1.25	1.00	2.75	5.00	6.00	1.00	6.50	1.75	1.25	5.75	5.00
L0100524	Troika	5.00	2.25	2.00	1.75	1.75	5.75	6.50	1.00	5.50	1.25	1.00	3.50	4.00
L0100525	Kalife	5.00	2.00	2.00	2.00	2.00	3.75	4.00	1.00	3.00	1.25	1.50	2.50	2.25
L0100526	Orus	5.00	4.00	1.50	2.50	1.75	4.00	3.50	1.00	3.50	1.50	1.25	3.75	3.50
L0100527	Starnain	5.00	2.75	1.75	1.00	2.00	5.50	6.00	1.00	3.00	1.50	1.50	3.50	4.00
L0100530	Bohatyr	5.00	1.50	1.25	1.25	2.00	6.00	6.00	1.00	5.00	1.50	1.25	4.50	4.00
L0100532	Lincoln-Mutant	5.00	2.75	1.50	1.00	2.50	4.00	1.00	1.00	4.00	1.75	1.50	3.75	3.25
L0100533	Minorvil	5.00	2.25	2.00	1.75	1.75	4.75	3.50	1.00	3.00	1.50	1.25	3.00	3.25
L0100534	Labores	5.00	3.25	2.00	1.25	3.00	4.50	4.00	1.00	3.50	1.50	1.50	5.00	4.50
L0100535	Radim	5.00	2.25	1.50	1.75	2.50	5.00	4.50	1.00	5.00	1.50	1.75	4.00	3.50
L0100536	Columba	5.00	1.75	1.50	1.00	1.75	4.75	4.00	1.00	4.00	1.75	1.75	4.00	4.00
L0100537	Hertta	5.00	4.25	1.50	1.25	2.25	2.75	4.00	1.00	7.00	1.50	1.25	2.75	3.25
L0100538	JO_2502	5.00	4.50	2.75	2.00	2.00	3.50	6.00	1.00	4.00	1.25	1.00	2.50	2.50
L0100539	JO_9161	5.00	2.50	2.00	1.50	2.00	5.25	5.00	1.00	4.00	1.25	1.25	3.00	3.25
L0100540	Kiri	5.00	4.00	1.25	1.00	2.50	3.25	3.50	1.00	7.00	1.25	1.00	3.00	3.25
L0100541	Mihan	3.00	0.00	0.00	0.00	0.00	6.00	5.33	1.00	9.00	1.33	1.33	3.00	3.17
L0100542	Hamil	3.00	0.00	0.00	0.00	0.00	4.83	5.67	1.00	9.00	1.33	1.33	3.17	3.17
L0100543	Mistrz	3.00	0.00	0.00	0.00	0.00	4.33	4.67	1.00	9.00	1.33	1.17	2.83	2.67
L0100544	T_VIII	3.00	0.00	0.00	0.00	0.00	3.83	4.33	1.00	9.00	1.33	1.17	3.67	3.50
L0100545	Milewska	3.00	0.00	0.00	0.00	0.00	4.67	4.33	1.00	9.00	1.00	1.17	3.00	3.17
L0100548	DE_7_nsl.	5.00	3.25	1.50	1.00	2.50	3.00	4.00	1.00	5.50	1.50	1.00	3.75	3.00
L0100549	DE_29_nsl.	5.00	2.75	1.25	1.50	2.50	3.00	3.25	1.00	5.00	1.50	1.50	3.75	3.00
L0100551	Fundulea_5354	5.00	4.83	2.33	2.17	2.33	4.50	6.00	1.00	6.67	1.50	1.00	2.33	2.67
L0100552	Heros	5.00	5.75	3.00	3.75	3.50	5.25	6.00	1.00	4.50	1.25	1.50	4.00	3.00
L0100553	I.P._7	5.00	2.00	1.25	1.25	2.00	4.25	5.50	1.00	3.00	1.25	1.25	3.25	1.75
L0100554	MF_3105	5.00	2.17	1.17	1.33	2.67	5.00	6.00	1.00	3.00	1.33	1.00	3.67	3.50
L0100556	PPT._II_nsl.	5.00	2.00	1.25	1.25	2.50	3.00	4.00	1.00	5.50	1.75	1.50	4.25	4.00
L0100557	Pomorsky_zolty	5.00	5.83	1.67	1.00	2.67	3.17	5.00	1.00	3.67	1.33	1.33	2.33	2.50
L0100558	Stranecka_Zhor_nsl._KR31	5.00	2.00	1.50	1.00	2.00	4.00	3.50	1.00	6.00	1.50	1.25	3.75	3.25
L0100560	Ujmajori_Sarga	5.00	4.25	1.00	1.00	1.50	4.00	5.50	1.00	7.00	1.00	1.00	3.00	3.25
L0100562	Waldmanns_Folger	5.00	2.50	1.50	1.00	1.50	3.50	3.50	1.00	3.50	1.50	1.50	3.75	3.25
L0100565	Markana	3.00	0.00	0.00	0.00	0.00	4.75	5.50	1.00	9.00	1.75	1.75	5.50	5.00
L0100566	Ondra	3.00	0.00	0.00	0.00	0.00	3.75	4.50	1.00	9.00	1.50	1.75	4.25	4.25
L0100567	Trio	5.00	4.25	1.75	2.50	2.50	5.50	6.50	1.00	3.50	1.50	1.50	5.25	4.75
L0100568	WAW_11112	5.00	2.50	1.25	1.00	1.75	5.00	6.50	1.00	6.00	2.00	1.25	4.00	3.75
L0100569	WAW_18045	5.00	2.00	1.75	2.00	2.25	4.75	5.00	1.00	6.00	2.00	1.75	3.25	3.25
L0100570	Skinado	5.00	2.25	1.75	1.00	2.50	6.75	7.00	1.00	4.00	1.25	1.25	3.50	3.75
L0100571	Superette	5.00	1.75	1.25	1.00	2.00	5.25	5.00	1.00	7.00	1.75	1.50	3.25	2.50
L0100572	Vertiroy	5.00	2.25	1.50	1.25	1.25	5.00	6.50	1.00	3.00	1.75	1.75	2.75	2.75
L0100575	Mansholt's_Fluth	5.00	2.75	1.00	1.00	1.75	4.00	4.50	1.00	5.50	1.75	1.50	3.75	3.25
L0100576	Neugatersleben_5099	5.00	2.00	1.50	1.00	2.50	5.50	6.00	1.00	4.00	1.75	1.50	4.00	3.75
L0100577	DE_104_nsl.	5.00	2.00	1.75	1.75	2.00	4.00	4.50	1.00	4.50	1.50	1.75	4.00	3.25
L0100578	DE_989_nsl.	5.00	2.50	1.00	1.25	3.50	3.75	3.75	1.00	4.50	1.75	1.50	3.25	2.75
L0100579	LU-M_nsl.	5.00	1.25	1.50	1.25	2.50	4.75	4.00	1.00	5.50	1.75	1.75	4.00	3.00
L0100580	HM-1926_nsl.	5.00	1.75	2.50	1.50	1.75	4.00	3.50	1.00	3.50	1.50	1.00	4.25	3.75
L0100581	HS_30-18_nsl.	5.00	2.75	1.50	1.50	1.25	3.00	4.00	1.00	5.00	1.50	1.00	4.25	3.25
L0100582	LU-DIK_ZL.	5.00	2.25	3.50	2.00	3.25	4.50	4.00	1.00	6.00	1.50	1.25	3.75	3.50
L0100583	LU-DK_ZEL	5.00	2.00	3.00	2.00	2.00	4.75	5.00	1.00	5.00	1.75	1.25	3.75	3.25
L0100584	Tolar	5.00	2.50	1.50	1.25	2.00	5.50	5.00	1.00	4.00	1.50	1.75	4.50	4.00
L0100585	CH-719	5.00	2.25	3.00	2.00	2.00	4.00	5.00	1.00	6.50	1.50	1.25	4.50	4.00
L0100586	Odeon	5.00	2.75	2.75	1.50	3.00	3.75	4.00	1.00	5.50	1.25	1.50	4.00	3.00
L0100587	I.P._8	5.00	2.25	1.75	1.75	2.00	4.75	5.00	1.00	3.00	1.25	1.25	2.25	2.50
L0100588	PSS_659/76/Gratas	5.00	2.25	1.25	1.00	2.00	5.00	4.00	1.00	3.50	1.50	1.25	5.00	4.25
L0100589	Maxi	5.00	2.75	1.25	1.25	1.00	5.00	6.00	1.00	4.00	1.50	1.50	3.50	3.50
L0100590	Miranda	5.00	2.50	1.25	1.00	1.50	4.25	3.50	1.00	4.00	1.25	1.25	3.25	3.00
L0100591	Simo	5.00	2.17	2.33	1.67	2.50	5.67	6.67	1.00	3.33	1.17	1.33	4.17	3.83
L0100592	Vreta	5.00	3.50	1.50	1.33	1.67	4.00	4.00	1.00	7.00	1.33	1.17	3.00	2.83
L0100594	WIA_179	5.00	1.67	2.00	1.67	1.17	5.67	6.33	1.00	5.67	1.50	1.17	4.17	4.00
L0100595	Imperial	5.00	1.00	2.33	2.17	1.83	5.83	6.33	1.00	4.33	2.00	1.67	4.67	4.50
L0100596	Kelvedon_Wonder	5.00	4.00	3.00	1.25	2.50	4.50	6.00	1.00	7.00	2.00	2.00	2.75	2.50
L0100597	Legenda	3.00	0.00	0.00	0.00	0.00	4.67	6.00	1.00	9.00	1.50	1.33	3.33	3.33
L0100598	Opal	5.00	3.33	1.00	1.17	2.00	4.50	6.00	1.00	6.67	1.50	1.00	4.17	4.33
L0100600	Sum	3.00	0.00	0.00	0.00	0.00	4.67	5.00	1.00	9.00	1.17	1.17	4.17	4.33
L0100601	Garfield	5.00	4.50	3.00	1.25	1.25	3.00	5.00	1.00	3.50	1.50	1.00	2.25	2.50
L0100602	Tracer	5.00	4.00	1.25	1.25	1.50	4.00	5.00	1.00	5.00	1.25	1.50	2.50	2.25
L0100603	Tyrkys	5.00	2.75	2.50	1.25	2.75	4.75	5.00	1.00	3.50	1.50	1.25	5.00	4.75
L0100604	HM_1926_nsl.	5.00	2.00	1.25	1.25	1.75	4.50	5.00	1.00	5.00	1.75	1.00	4.00	3.25
L0100605	HC_52_nsl.	5.00	2.00	1.50	1.00	3.25	5.25	4.50	1.00	4.50	1.50	1.25	4.25	3.25
L0100606	LU_FK_nsl.	5.00	5.25	1.50	1.25	2.50	4.50	5.00	1.00	4.00	1.75	2.00	3.75	2.75
L0100607	HS_16502_nsl.	5.00	5.75	1.50	1.25	2.00	5.50	5.00	1.00	4.00	1.75	1.50	4.25	3.25
L0100608	Dash	5.00	3.50	2.75	2.50	2.50	5.00	5.00	1.00	4.00	1.50	1.50	3.75	2.75
L0100609	Frimento_RS	5.00	2.75	1.50	1.25	1.75	4.25	3.00	1.00	4.50	1.25	1.00	4.75	5.00
L0100610	Frostar	5.00	2.50	1.75	1.00	1.75	3.75	5.00	1.00	4.00	2.00	1.50	3.75	4.50
L0100611	Johnsons_Freezer	5.00	2.50	1.25	1.00	2.00	5.25	6.50	1.00	5.50	1.75	1.25	3.75	3.75
L0100613	Lancet	5.00	4.25	2.00	1.00	3.00	5.00	6.00	1.00	6.00	1.75	1.75	5.25	4.75
L0100614	Lorina	5.00	2.25	1.50	2.00	2.50	4.50	5.50	1.00	4.00	1.75	1.75	3.25	4.00
L0100615	Lowadis	5.00	2.50	1.75	1.25	2.25	5.00	6.00	1.00	4.00	1.50	1.25	5.50	5.00
L0100617	Orfeo	5.00	2.75	2.25	2.25	2.25	5.00	5.50	1.00	3.50	1.25	1.25	3.25	3.25
L0100618	Prinsa	5.00	1.75	1.25	1.25	1.75	4.00	4.50	1.00	6.00	1.50	1.25	3.25	2.75
L0100619	Relavil	5.00	4.00	1.75	1.25	2.50	5.00	7.00	1.00	3.00	1.50	1.50	4.25	4.50
L0100620	Ridana	5.00	2.50	1.25	1.00	2.25	4.25	4.50	1.00	5.50	1.25	1.25	3.50	4.00
L0100621	Ridonia	5.00	2.75	1.00	1.00	1.75	5.50	6.00	1.00	3.50	1.50	1.50	4.50	4.75
L0100622	Rurik	5.00	2.50	1.25	1.50	1.00	6.75	7.00	1.00	5.00	1.50	1.75	3.50	3.25
L0100623	Rival	5.00	4.00	1.50	1.25	3.50	3.00	3.50	1.00	7.00	1.25	1.00	3.75	3.25
L0100624	Senator	5.00	2.00	1.25	1.25	3.50	5.50	5.00	1.00	4.50	2.00	1.25	4.25	3.50
L0100625	Sprinter	5.00	2.75	1.50	1.00	3.25	4.50	5.00	1.00	6.00	2.50	1.50	4.00	3.50
L0100626	Starcovert	5.00	1.75	2.00	2.00	1.25	5.25	6.00	1.00	5.50	1.50	1.25	2.25	2.25
L0100627	Vitalis	5.00	2.50	1.25	1.25	2.25	5.00	5.50	1.00	4.00	1.50	1.00	4.50	4.75
L0100628	Marrow	5.00	3.83	3.33	1.17	2.17	5.83	6.67	1.00	5.33	1.00	1.00	4.83	4.83
L0100629	Ujmajori_Korai_Viktoria	5.00	4.50	1.50	1.00	1.50	2.25	4.50	1.00	4.50	1.00	1.25	2.75	2.75
L0100630	Koral	5.00	2.00	1.17	1.17	1.67	5.00	5.67	1.00	5.33	1.00	1.67	5.33	5.17
L0100631	Aster	5.00	1.33	1.50	1.00	1.50	6.00	7.33	1.00	5.33	1.33	1.00	4.33	4.17
L0100632	Corina	5.00	4.50	1.33	1.17	1.67	3.83	5.33	1.00	3.33	1.67	1.33	3.33	3.50
L0100633	Amina	5.00	2.50	1.33	1.50	1.67	6.00	7.00	1.00	3.33	1.33	1.00	4.50	4.33
L0100636	Heron	5.00	2.25	2.25	2.00	1.00	5.25	6.00	1.00	5.00	1.50	1.25	3.25	3.50
L0100637	Sentinel	3.00	0.00	0.00	0.00	0.00	4.00	6.00	1.00	9.00	1.50	1.00	3.00	3.00
L0100638	Polaris	5.00	2.50	1.25	1.25	2.50	3.50	5.00	1.00	3.50	1.50	1.50	3.25	3.25
L0100639	Progreta	5.00	1.50	1.25	1.00	1.00	5.25	5.50	1.00	6.50	1.50	1.25	2.25	2.00
L0100640	Sleaford_Dryard	5.25	2.75	1.50	1.00	2.25	4.00	5.00	1.00	4.50	1.25	1.25	2.75	3.00
L0100641	Menivil	5.00	2.25	1.25	1.25	1.50	5.00	5.50	1.00	5.00	1.00	1.25	3.25	3.50
L0100642	Junak	5.00	2.25	1.75	1.50	2.50	5.75	5.50	1.00	5.00	2.00	1.75	4.00	3.50
L0100643	Amino	5.00	2.75	1.25	1.00	2.00	5.25	5.00	1.00	3.50	1.50	1.25	3.25	3.50
L0100644	Emerald	5.00	2.25	1.75	1.50	1.75	5.50	6.50	1.00	4.00	2.00	1.75	4.00	3.00
L0100645	Stehgolt	5.00	1.50	1.50	1.00	2.25	4.00	5.00	1.00	3.50	1.00	1.00	3.25	3.25
L0100646	Consort	3.00	0.00	0.00	0.00	0.00	4.00	4.50	1.00	9.00	1.00	1.00	3.75	4.00
L0100648	Lenca	5.00	2.75	1.50	1.00	1.50	4.25	4.50	1.00	6.50	1.25	1.00	3.00	3.00
L0100649	Tara	5.00	2.00	1.25	1.25	1.25	3.75	6.50	1.00	4.50	1.25	1.00	3.50	4.00
L0100650	Triumph	5.00	2.50	1.75	1.25	1.25	5.75	6.00	1.00	5.50	2.00	1.75	3.50	3.25
L0100651	Huka	5.00	2.50	1.83	2.17	2.50	5.67	6.33	1.00	5.00	1.33	1.33	4.83	5.00
L0100654	Regent	5.00	2.00	1.25	1.25	1.75	5.00	6.50	1.00	5.00	1.25	1.00	2.50	2.75
L0100655	Conquest	5.00	3.75	1.00	1.25	1.75	4.50	6.00	1.00	5.50	1.50	1.25	2.25	2.75
L0100656	Pontus	5.00	1.50	2.00	1.75	1.25	4.50	5.50	1.00	3.50	1.50	1.50	2.50	2.75
L0100657	Cilla	5.00	2.25	1.00	1.00	1.00	5.50	6.50	1.00	5.50	1.00	1.00	2.50	2.50
L0100658	Belman	5.00	1.25	1.00	1.00	1.00	5.25	5.50	1.00	4.50	1.00	1.50	2.50	2.50
L0100659	Lisette	5.00	2.50	1.75	1.50	2.00	3.50	3.50	1.00	5.00	1.75	2.00	3.25	3.00
L0100660	Frijaune	5.00	2.50	2.50	1.50	2.00	4.50	5.50	1.00	4.50	1.50	1.25	3.25	3.25
L0100661	Belinda	5.00	2.50	2.00	1.25	2.00	5.50	5.00	1.00	5.00	1.25	1.00	2.75	3.00
L0100662	Solara	3.00	0.00	0.00	0.00	0.00	4.75	6.50	1.00	9.00	1.00	1.25	3.50	3.75
L0100664	Elektron	5.00	1.33	1.33	1.00	1.33	6.17	7.00	1.00	4.67	1.33	1.00	4.17	4.00
L0100665	Perkun	5.00	2.17	1.17	1.17	1.17	6.50	8.00	1.00	3.33	1.17	1.00	4.33	4.50
L0100666	Ramir	3.00	0.00	0.00	0.00	0.00	5.00	5.00	1.00	9.00	1.00	1.00	4.50	4.67
L0100667	Botond	5.00	4.25	1.25	1.00	1.25	5.00	5.00	1.00	5.50	1.25	1.00	4.50	4.75
L0100668	Othello	5.00	2.75	1.25	1.00	2.50	3.75	3.50	1.00	6.00	1.50	1.25	3.25	3.25
L0100669	Proco	5.00	2.25	1.50	1.00	2.50	4.50	5.00	1.00	4.00	1.50	1.75	3.00	4.00
L0100670	Countess	3.00	0.00	0.00	0.00	0.00	4.50	5.00	1.00	9.00	1.25	1.00	3.75	4.25
L0100671	Gitana	5.00	2.50	1.50	1.25	1.25	5.00	5.50	1.00	4.50	1.25	1.25	4.25	3.50
L0100672	Helka	3.00	0.00	0.00	0.00	0.00	4.75	5.00	1.00	7.00	1.25	1.25	3.50	3.75
L0100674	Schobi	5.00	1.75	1.25	1.25	1.50	5.00	6.50	1.00	6.00	1.50	1.25	3.00	3.00
L0100676	Colt	3.00	0.00	0.00	0.00	0.00	4.25	4.50	1.00	9.00	1.25	1.00	2.50	2.75
L0100677	Karat	5.00	3.33	1.17	1.33	1.83	5.00	6.67	1.00	4.67	1.00	1.50	3.50	3.67
L0100678	Heikka	5.00	2.75	2.00	1.75	2.25	4.50	4.50	1.00	3.50	1.25	1.25	2.00	2.25
L0100679	Hemmo	5.00	4.25	2.00	1.25	2.25	4.75	4.50	1.00	5.50	1.25	1.00	3.25	3.50
L0100680	Danto	3.00	0.00	0.00	0.00	0.00	5.00	6.00	1.00	9.00	1.50	1.25	3.50	3.75
L0100681	Progolt	5.00	2.25	2.00	1.75	1.50	4.50	5.50	1.00	5.00	1.25	1.25	4.00	4.25
L0100682	Asta	5.00	2.50	1.50	1.25	1.25	5.00	6.00	1.00	5.50	1.25	1.00	2.50	3.00
L0100683	Margot	5.00	2.00	1.75	1.00	1.50	4.25	5.50	1.00	4.00	1.50	1.25	3.50	3.25
L0100684	Multipod	5.00	2.25	1.50	1.50	2.00	6.50	5.50	1.00	4.00	2.00	1.25	3.75	3.75
L0100685	Ascona	3.00	0.00	0.00	0.00	0.00	4.75	6.50	1.00	9.00	1.25	1.00	4.00	3.50
L0100686	Rigel	3.00	0.00	0.00	0.00	0.00	4.83	6.67	1.00	9.00	1.33	1.17	3.17	3.33
L0100687	Hanak	5.00	2.25	1.00	1.75	2.25	5.50	5.50	1.00	5.00	1.25	1.00	4.00	4.25
L0100688	Romeo	5.00	1.25	1.75	1.50	2.50	4.50	5.50	1.00	4.50	1.75	1.00	3.75	3.75
L0100692	Luzsanyi	5.00	2.25	1.25	1.50	2.50	5.00	6.50	1.00	5.00	2.00	1.50	4.25	3.50
L0100693	Olivin	5.00	3.25	1.75	1.00	2.25	4.50	4.50	1.00	6.00	2.00	1.25	3.00	2.50
L0100695	Trim	5.00	2.25	1.50	1.25	2.25	3.50	4.00	1.00	4.50	1.75	1.50	4.00	3.00
L0100699	nsl._LU70	5.00	2.75	4.50	2.75	2.00	6.00	6.50	1.00	4.50	1.25	1.00	4.50	3.50
L0100702	Santa	5.00	4.50	1.75	2.00	2.50	4.50	4.50	1.00	7.00	1.25	1.00	2.25	2.75
L0100703	Tipu	3.00	0.00	0.00	0.00	0.00	4.25	5.50	1.00	9.00	1.00	1.25	3.00	3.25
L0100704	Titan	5.00	3.50	2.75	2.00	1.75	3.75	4.00	1.00	5.50	1.25	1.25	2.00	2.00
L0100705	Trille	3.00	0.00	0.00	0.00	0.00	5.75	6.00	1.00	9.00	1.25	1.00	3.25	3.75
L0100706	Madria	3.00	0.00	0.00	0.00	0.00	4.50	5.00	1.00	9.00	1.25	1.00	2.50	2.50
L0100707	Calypso	5.00	4.00	2.00	1.25	2.25	5.25	6.50	1.00	3.50	1.75	1.25	4.75	5.00
L0100712	Fjord	3.00	0.00	0.00	0.00	0.00	4.67	5.00	1.00	9.00	1.17	1.00	3.00	3.00
L0100713	Ballet	3.00	0.00	0.00	0.00	0.00	4.00	4.00	1.00	3.00	1.75	1.50	2.50	2.50
L0100714	Casino	3.00	0.00	0.00	0.00	0.00	3.50	5.00	1.00	3.00	1.00	1.25	3.25	3.50
L0100716	Folio	3.00	0.00	0.00	0.00	0.00	4.25	4.00	1.00	3.00	1.25	1.00	3.25	3.25
L0100717	Melton	3.00	0.00	0.00	0.00	0.00	5.00	5.00	1.00	3.00	1.50	1.25	3.00	3.25
L0100720	Echo	3.00	0.00	0.00	0.00	0.00	4.50	5.00	1.00	3.00	1.25	1.25	3.25	3.50
L0100721	Katrin	5.00	2.00	1.25	1.00	1.00	4.75	5.50	1.00	3.00	1.25	1.25	2.50	2.50
L0100722	Szafir	5.00	1.83	1.17	1.17	1.50	5.83	7.00	1.00	5.00	1.67	1.50	3.67	4.00
L0100723	Terese	3.00	0.00	0.00	0.00	0.00	5.00	6.00	1.00	3.00	1.25	1.00	2.75	3.25
L0100724	Impala	3.00	0.00	0.00	0.00	0.00	4.00	6.50	1.00	9.00	1.50	1.00	3.50	3.75
L0100725	Princess	3.00	0.00	0.00	0.00	0.00	5.25	5.50	1.00	9.00	1.00	1.00	2.75	2.75
L0100726	Hermes	5.00	1.33	1.67	1.50	1.33	5.50	6.33	1.00	3.33	1.00	1.33	3.00	3.17
L0100727	Promar	5.00	1.25	1.00	1.00	1.00	5.75	6.00	1.00	5.00	1.75	1.50	2.25	2.00
L0100729	E-560	5.00	2.00	1.00	1.00	2.50	4.50	4.00	5.00	5.00	7.00	9.00	4.50	4.50
L0100730	E-420	5.00	2.00	1.00	1.50	2.50	5.50	6.00	5.00	5.00	7.00	8.50	5.50	5.50
L0100731	Leo	3.00	0.00	0.00	0.00	0.00	3.50	4.50	1.00	9.00	1.00	1.00	4.25	4.25
L0100732	Janus	5.00	2.75	1.50	2.00	2.25	3.50	6.50	1.00	5.00	1.25	1.00	3.75	3.25
L0100735	Sobel	4.00	1.25	0.75	0.50	1.50	5.50	6.50	1.00	5.00	1.25	1.00	3.00	3.00
L0100736	Komet	5.00	2.75	3.00	2.75	2.50	5.75	6.50	1.00	5.00	1.00	1.00	4.75	4.25
L0100740	M4-9005	3.00	0.00	0.00	0.00	0.00	5.00	4.00	1.00	9.00	1.00	1.00	5.50	5.50
L0100741	M4-9030	5.00	1.00	1.00	1.00	1.00	6.50	8.00	1.00	5.00	1.50	1.50	3.50	3.50
L0100742	M4-9033	5.00	1.50	1.00	1.00	1.50	6.00	6.00	1.00	5.00	1.00	1.00	5.50	5.50
L0100743	M4-9060	3.00	0.00	0.00	0.00	0.00	5.00	6.00	1.00	9.00	1.00	1.00	3.50	3.50
L0100745	Julie	5.00	2.75	1.50	1.25	2.75	2.75	4.00	1.00	5.00	1.75	1.50	4.00	3.00
L0100747	Atol	5.00	2.75	1.25	1.00	1.75	5.75	8.00	1.00	3.00	1.25	1.25	4.00	4.00
L0100748	Froidure	5.00	2.25	2.00	1.50	1.75	4.50	5.00	1.00	3.00	1.75	1.25	2.50	2.50
L0100749	Juno	3.00	0.00	0.00	0.00	0.00	5.25	4.00	1.00	3.00	1.50	1.00	2.75	3.25
L0100750	Montana	3.00	0.00	0.00	0.00	0.00	5.00	6.00	1.00	3.00	1.25	1.00	2.75	2.75
L0100751	Renata	3.00	0.00	0.00	0.00	0.00	4.25	5.00	1.00	3.00	1.25	1.25	2.50	3.25
L0100752	Profi	3.00	0.00	0.00	0.00	0.00	4.00	6.50	1.00	3.00	1.25	1.00	3.50	3.50
L0100753	Sandra	3.00	0.00	0.00	0.00	0.00	5.25	7.00	1.00	3.00	1.25	1.25	4.00	4.25
L0100754	Odin	3.00	0.00	0.00	0.00	0.00	3.25	4.00	1.00	3.00	1.75	1.50	2.75	2.75
L0100755	Mirador	3.00	0.00	0.00	0.00	0.00	4.50	5.50	1.00	3.00	1.25	1.25	3.25	3.50
L0100756	Cambar	3.00	0.00	0.00	0.00	0.00	5.25	7.00	1.00	3.00	1.50	1.00	3.75	4.25
L0100757	Lantra	3.00	0.00	0.00	0.00	0.00	5.00	6.00	1.00	3.00	1.75	1.50	2.50	2.50
L0100758	Carrera	3.00	0.00	0.00	0.00	0.00	4.75	6.00	1.00	3.00	1.50	1.25	2.75	3.00
L0100759	Cebeco_1429/17	3.00	0.00	0.00	0.00	0.00	4.50	5.50	1.00	3.00	1.25	1.25	3.50	3.25
L0100760	Saturn	5.00	2.25	1.75	1.25	2.25	4.25	5.50	1.00	5.00	1.75	1.00	4.00	3.75
L0100761	Sonet	5.00	2.25	1.25	1.25	2.25	4.50	4.00	1.00	5.00	1.50	1.50	3.25	2.75
L0100762	Adept	5.00	2.75	1.50	1.00	2.25	4.50	5.50	1.00	5.00	1.00	1.00	4.75	4.25
L0100763	Merkur	5.00	2.75	1.25	1.25	2.00	5.50	5.00	1.00	5.00	1.50	1.00	4.25	4.00
L0100765	Primus	5.00	2.25	1.50	1.50	2.50	4.50	4.00	1.00	5.00	1.50	1.50	3.25	2.75
L0100766	Pegas	5.00	2.25	1.25	1.25	2.25	3.75	4.50	1.50	5.00	1.50	1.50	4.25	4.00
L0100768	Menhir	3.00	0.00	0.00	0.00	0.00	3.75	4.50	1.00	3.00	1.00	1.00	4.75	4.00
L0100769	Dark_Skin_Perfection	5.00	4.50	2.33	1.67	2.00	5.83	7.00	1.00	5.00	1.33	1.67	4.17	4.00
L0100770	Protor	5.00	4.50	3.67	2.67	2.83	5.67	7.67	1.00	5.00	1.50	1.00	3.33	3.50
L0100771	Hunter	5.00	1.83	2.00	1.67	1.17	6.17	6.00	1.00	5.00	1.00	1.33	3.17	3.00
L0100772	Aldot	5.00	3.00	1.50	1.17	2.83	2.33	4.67	1.00	3.00	1.33	1.17	3.17	3.33
L0100773	Avanta	5.00	2.33	1.33	1.83	2.83	5.67	6.67	1.00	5.00	1.33	1.00	4.50	4.50
L0100774	Mingomark	5.00	5.67	1.17	1.17	1.83	5.50	6.00	1.00	5.00	1.17	1.50	3.50	3.67
L0100775	Charger	5.00	4.17	2.00	1.67	2.17	5.17	5.67	1.00	5.00	1.83	1.50	3.17	3.00
L0100776	Jof	5.00	3.67	2.00	1.33	1.67	5.00	6.00	1.17	5.00	1.83	1.33	3.50	3.33
L0100777	Alan	5.00	3.25	1.75	1.00	3.00	3.50	4.50	1.00	5.00	1.00	1.00	3.25	2.75
L0100778	Maretta	5.00	2.25	1.50	1.00	1.75	5.00	5.00	1.00	5.00	1.50	1.50	3.00	4.00
L0100779	Mathilde	5.00	2.75	1.25	1.50	2.00	4.75	6.00	1.00	5.00	1.75	1.50	3.00	3.00
L0100793	P.sat.ssp.asiaticum_1	5.00	1.83	1.83	1.67	2.17	4.33	6.00	4.67	5.00	6.67	8.33	2.83	3.00
L0100794	P.sat.ssp.asiaticum_2	5.00	1.83	3.67	1.67	3.00	3.00	3.33	3.17	5.00	4.83	6.50	3.33	3.50
L0100795	P.sat.ssp.asiaticum_3	5.00	2.83	2.50	1.50	3.17	6.33	5.33	5.00	5.00	7.33	8.83	3.00	3.17
L0100796	P.sat.ssp.asiaticum_4	5.00	2.33	2.33	1.83	1.17	2.67	3.33	5.00	5.00	5.00	7.00	3.17	3.33
L0100797	P.sat.ssp.asiaticum_5	5.00	2.50	1.50	1.00	1.67	3.33	4.00	5.00	5.00	6.83	8.50	3.50	3.17
L0100798	P.sat.ssp.tibetanicum_1	5.00	1.83	2.83	1.33	2.00	4.83	4.00	2.67	5.00	7.17	8.83	2.67	3.00
L0100799	P.sat.ssp.tibetanicum_2	5.00	3.17	2.67	1.67	2.83	4.00	5.00	3.00	5.00	7.67	8.17	3.83	4.00
L0100800	P.sat.ssp.transcaucasicum_1	5.00	3.83	2.00	2.67	3.33	4.00	3.33	4.33	5.00	3.83	5.50	2.50	2.67
L0100801	P.sat.ssp.transcaucasicum_2	5.00	2.17	2.17	2.17	2.83	4.00	4.33	3.00	5.00	4.00	7.00	3.17	3.00
L0100802	P.sat.ssp.transcaucasicum_3	5.00	2.00	1.67	2.00	1.17	4.50	5.33	1.67	5.00	7.33	8.83	2.83	3.00
