Id_number	Accession_name	Leaf-type	Leaflet-shape (in the first flowering node)	Leaflet-margin shape on the second real leaf	Leaflet-margin shape at the first flowering node	Leaflet-appex shape	Leaflet-colour	Leaflet-waxy bloom	Stipules-character of anthocyan spot	Tendrils of leaf-shape	Flower-vexillium colour	Flower-wings colour	Pea mosaic virus-resistance	Pea enation mosaic virus-resistance
L0100131	Rondo_C.B.	5.00	2.50	1.25	1.00	2.25	4.50	5.00	1.00	4.00	1.50	1.25	3.75	3.50
L0100132	Saxa	5.00	5.75	3.00	2.50	3.00	3.25	3.50	1.00	3.50	1.75	1.50	2.75	3.25
L0100133	Stijfstro_C.B.	5.00	2.50	1.50	1.25	1.75	5.50	6.00	1.00	4.00	1.50	1.50	2.50	2.25
L0100134	Unica	5.00	2.25	1.50	1.00	1.75	5.00	7.00	1.00	4.00	1.50	1.00	3.25	3.00
L0100135	Zelka	5.00	3.75	1.50	1.00	3.00	5.00	5.50	1.00	5.00	1.25	1.00	2.75	3.25
L0100136	Unica	5.00	1.75	1.25	1.25	1.00	5.50	7.00	1.00	4.00	1.75	1.50	3.75	3.75
L0100140	P._sat._melanocarpum	5.00	5.25	1.75	1.25	3.50	2.50	4.00	5.00	3.50	7.00	6.75	3.50	2.75
L0100142	Alerfruheste_Mai	5.00	3.00	1.50	1.25	2.25	3.50	4.00	1.00	5.00	1.75	1.50	3.25	3.75
L0100143	British_Lion	5.00	6.75	2.50	1.00	2.50	2.75	4.50	1.00	7.00	1.25	1.50	3.25	2.25
L0100144	Americky_184	5.00	6.00	1.50	1.00	2.75	3.75	5.00	1.00	5.00	1.00	1.00	3.00	2.75
L0100145	Belgicky_zeleny	5.00	4.75	3.00	1.50	2.75	3.25	6.50	1.00	5.00	1.75	1.00	2.75	3.00
L0100146	Jihoafricky_I	5.00	4.00	1.50	1.00	1.25	4.50	6.00	1.00	7.00	1.50	1.50	2.25	2.25
L0100147	Jihoafricky_II	5.00	4.25	1.75	1.25	1.50	3.50	4.50	1.00	3.00	2.25	1.50	2.50	2.50
L0100148	Holandsky	5.00	3.75	1.25	1.00	1.25	5.25	6.00	1.00	4.00	1.75	1.25	3.50	3.75
L0100149	Kaleva	5.00	2.75	1.00	1.00	3.00	4.00	6.00	1.00	7.00	1.25	2.25	2.50	2.50
L0100150	Koivisto	5.00	4.00	1.00	1.00	2.00	4.25	4.50	1.00	5.00	1.50	1.25	2.00	2.25
L0100151	Novozelandsky	5.00	4.17	2.17	1.00	2.17	4.00	4.33	1.00	5.67	1.50	1.67	2.83	3.00
L0100152	Skory_Express	5.00	5.25	2.25	2.00	1.25	4.00	6.50	1.00	5.00	1.25	1.25	3.75	3.00
L0100153	Expres	5.00	6.00	1.50	1.17	3.00	3.00	5.33	1.00	3.00	1.17	1.33	3.83	3.67
L0100154	Szecsiotygodniowy	5.00	4.50	1.67	1.17	3.00	3.00	5.67	1.00	4.33	1.33	1.00	4.17	4.00
L0100157	Kronenerbse	5.00	3.25	1.25	1.00	2.50	3.75	5.00	1.00	6.50	1.50	1.25	5.50	5.00
L0100158	"Pisum_sativum,_var._chloromelan"	5.00	2.50	2.50	1.25	2.50	2.75	4.00	1.00	3.50	1.75	1.25	5.00	4.50
L0100159	Early_Blue	5.00	2.50	1.50	1.25	2.00	5.75	6.00	1.00	3.00	1.25	1.50	2.75	2.75
L0100160	Cristal	5.00	4.50	2.00	1.00	2.50	2.75	4.00	1.00	7.00	1.25	1.25	2.25	2.50
L0100161	Juran	4.50	1.25	1.50	1.50	2.00	4.00	4.00	1.00	4.00	1.50	1.25	4.25	3.25
L0100162	Concordiaart	5.00	4.67	1.67	1.17	2.33	4.67	6.00	1.00	3.00	1.67	1.83	3.50	3.67
L0100163	Zeiners_Frankonia	5.00	4.50	1.50	1.00	2.25	3.00	5.50	1.00	6.00	1.00	1.00	4.50	4.50
L0100164	Zeiners_Tiefgrune	5.00	4.00	1.25	1.25	2.50	4.00	5.00	1.00	6.50	1.25	1.00	5.75	5.25
L0100165	Buchbon_White	5.00	1.75	3.25	2.25	1.75	6.25	8.50	1.00	3.00	1.75	1.75	2.50	3.00
L0100167	Rapid_Weibull's_extra	5.00	2.17	1.33	1.17	1.50	3.83	5.33	1.00	3.00	1.17	1.00	4.17	4.33
L0100168	Hustler	5.00	4.00	1.50	1.00	1.75	5.75	6.00	1.00	3.00	1.25	1.00	3.25	3.25
L0100169	Burpees_Best	5.00	5.75	1.75	1.75	3.00	5.00	5.50	1.00	3.00	1.00	1.25	2.75	2.25
L0100170	Chancellor	5.00	5.50	1.25	1.00	2.00	3.75	5.00	1.00	3.50	1.50	1.25	3.75	3.75
L0100171	Chantenay	5.00	4.00	3.00	1.75	1.50	2.25	3.00	1.00	7.00	1.25	1.25	3.25	3.25
L0100172	Ilo	5.00	5.25	2.25	1.25	2.25	4.75	6.00	1.00	5.00	1.25	1.25	2.25	2.25
L0100173	Neuer_Riesen_Schnabel	5.00	2.75	1.50	1.00	2.25	3.75	5.00	1.00	6.50	1.25	1.00	3.50	3.00
L0100174	Ruhmvon_Vietz	5.00	5.75	1.75	1.00	2.25	3.00	5.00	1.00	5.00	1.50	1.00	3.75	3.25
L0100176	Gyllenart	5.00	4.33	1.83	1.17	2.33	3.67	4.00	1.00	4.33	1.17	1.33	3.33	3.33
L0100177	Giant_Stride	5.00	4.50	1.25	1.00	2.25	3.75	3.00	1.00	7.00	1.25	1.00	3.75	3.75
L0100178	Zeiners_Gold	5.00	4.00	1.25	1.00	3.00	3.00	4.50	1.00	3.50	1.25	1.00	4.50	4.00
L0100179	Allerfruheste_Mai	5.00	2.25	3.50	2.00	1.75	4.50	6.00	1.00	5.00	1.50	1.00	3.50	3.25
L0100180	Czwartkowy	5.00	3.50	1.67	1.00	2.50	3.83	6.00	1.00	3.67	1.00	1.17	2.83	2.50
L0100181	Wiktoria_PZHR	5.00	5.17	2.83	2.67	2.17	3.83	5.67	1.00	7.00	1.33	1.00	3.33	3.50
L0100183	Szn-Jan-Cz-Jao-Szn	5.00	4.25	1.25	1.25	2.50	2.75	4.50	1.00	5.00	1.25	1.25	3.00	2.75
L0100184	Cin-Si-Da-Li	5.00	4.25	1.00	1.25	1.25	2.50	3.50	1.00	3.00	1.25	1.25	2.25	2.25
L0100185	Nan-Czin-Tjan-Van-Dor	5.00	5.75	1.50	1.00	2.00	2.25	4.00	1.00	3.00	1.25	1.50	4.00	2.50
L0100186	Wiktoria_Lagiewnicki	5.00	4.83	1.67	1.67	2.33	3.50	4.67	1.00	4.33	1.17	1.00	2.83	2.67
L0100189	Early_Spring	5.00	3.75	1.75	1.00	1.50	2.50	4.50	1.00	5.00	1.25	1.00	2.75	2.75
L0100191	Favorit	5.00	2.50	1.00	1.25	2.75	4.25	6.00	1.00	6.00	2.00	1.25	4.00	3.50
L0100192	Zeiners_Grune_Bastard	5.00	4.00	1.00	1.00	2.50	4.50	6.00	1.00	6.50	2.00	1.50	4.25	4.25
L0100193	Kujawski_Wczesny	5.00	4.00	1.50	1.00	2.00	4.33	6.67	1.00	5.00	1.33	1.33	3.33	3.33
L0100194	Wiktoria_Pozny	5.00	4.17	1.50	1.17	2.33	3.67	4.00	1.00	7.00	1.50	1.00	3.17	3.00
L0100196	Serpette_Guilloteaux	5.00	4.50	1.50	1.00	2.50	3.50	4.00	1.00	6.50	1.25	1.00	2.25	2.25
L0100197	Serpette_Verte	5.00	4.00	3.00	1.75	1.25	5.00	6.00	1.00	5.00	1.25	1.00	2.75	2.75
L0100198	Peas_Hoshiar_Puri	5.00	3.00	1.25	1.00	1.75	5.00	6.00	1.00	7.00	1.00	1.50	2.75	2.75
L0100199	Servo	5.00	2.50	1.75	1.00	1.25	5.00	6.50	1.00	4.00	1.50	1.25	3.00	3.25
L0100200	Kleinwanzlebener	5.00	3.00	1.75	1.25	1.75	3.50	4.00	1.00	6.00	1.50	1.25	5.50	5.00
L0100202	Hadmerslebener_Grune	5.00	2.50	1.50	1.00	2.25	3.25	4.00	1.00	5.00	1.50	1.25	4.25	3.75
L0100203	Hallorengold	5.00	2.25	1.50	1.00	1.75	3.50	4.50	1.00	6.00	1.25	1.00	3.75	3.50
L0100204	Mansfelder_Grune	5.00	4.25	1.50	1.00	2.50	3.25	4.00	1.00	6.50	2.00	1.50	4.00	3.75
L0100205	Nordsaat	5.00	2.50	1.00	1.25	2.25	2.75	4.00	1.00	5.00	1.75	1.00	3.00	3.50
L0100206	Waldmanns_Goldkugel	5.00	3.25	1.25	1.50	3.25	2.75	4.50	1.00	5.00	1.50	1.25	3.50	4.00
